"audio_stop_number","object_id","media_url","title","in_gallery_version","stop_type","","","",""
"516","516","p516.mp3","Robert, The Rustic Bridge","1","quick","","","",""
"517","135","p517.mp3","Fontainbleau Oaks","1","quick","","","",""
"518","4191","p518.mp3","Fontainbleau Forest","1","quick","","","",""
"519","2624","p519.mp3","Daubigny, Landscape near Cremieu","1","quick","","","",""
"521","548","p521.mp3","Jean Clouet the Younger, Princess Charlotte of France","1","quick","","","",""
"523","1566","p523.mp3","Garnier, The Poorly Defended Rose","1","quick","","","",""
"523","1567","p523.mp3","Garnier, The Letter","1","quick","","","",""
"524","1576","p524.mp3","Diaz, Forest Interior with Wood Gatherer","1","quick","","","",""
"526","803","p526.mp3","Fournier, Lowry Hill, Minneapolis","1","quick","","","",""
"527","750","p527.mp3","Fournier, Mill Pond at Minneapolis","1","quick","","","",""
"528","688","p528.mp3","Fournier, Farnham's Old Mill at St. Anthony Falls","1","quick","","","",""
"529","770","p529.mp3","Lewis, Cheever's Mill on St. Croix River","1","quick","","","",""
"530","767","p530.mp3","Lewis, Gorge of the St. Croix","1","quick","","","",""
"532","61","p532.mp3","Cole, Landscape","1","quick","","","",""
"533","2762","p533.mp3","Richards, Quiet Seascape","1","quick","","","",""
"534","1737","p534.mp3","Roesen, Still Life with Fruit","1","quick","","","",""
"535","1694","p535.mp3","Moran, Scene on the Tohickon Creek, Autumn","1","quick","","","",""
"536","5683","p536.mp3","Nichols, The Twins","1","quick","","","",""
