audio_stop_number,object_id,media_url,title,in_gallery_version,stop_type,Summary,Comments,Keep?,media_url,audio file URL, collections URL,media_url
171,,p171.mp3,Chinese Lacquer Panel,1,quick,,,,p171.mp3,https://audio-tours.s3.amazonaws.com/p171.mp3,http://collections.artsmia.org/art/,
171,,p171.mp3,Chinese Lacquer Panel,1,quick,,,,p171.mp3,https://audio-tours.s3.amazonaws.com/p171.mp3,http://collections.artsmia.org/art/40660,
171,,p171.mp3,Chinese Lacquer Panel,1,quick,,,,p171.mp3,https://audio-tours.s3.amazonaws.com/p171.mp3,http://collections.artsmia.org/art/40663,
171,,p171.mp3,Chinese Lacquer Panel,1,quick,,,,p171.mp3,https://audio-tours.s3.amazonaws.com/p171.mp3,http://collections.artsmia.org/art/40633,
171,,p171.mp3,Chinese Lacquer Panel,1,quick,,,,p171.mp3,https://audio-tours.s3.amazonaws.com/p171.mp3,http://collections.artsmia.org/art/5192,
176,5196,p176.mp3,Scholar in Landscape,1,quick,,,,p176.mp3,https://audio-tours.s3.amazonaws.com/p176.mp3,http://collections.artsmia.org/art/5196,
177,131,p177.mp3,"Avalokitesvara, Kuan Yin",1,quick,,,,p177.mp3,https://audio-tours.s3.amazonaws.com/p177.mp3,http://collections.artsmia.org/art/131,
180,59842,p180.mp3,"Ying, Angling in the Shade Amid Summer Trees",1,quick,,,,p180.mp3,https://audio-tours.s3.amazonaws.com/p180.mp3,http://collections.artsmia.org/art/59842,
181,,p181.mp3,"Li Liu-fang, Landscape Album",1,quick,,,,p181.mp3,https://audio-tours.s3.amazonaws.com/p181.mp3,http://collections.artsmia.org/art/,
182,30702,p182.mp3,Chou Tun-I Gazing Out Over Lotus,1,quick,,,,p182.mp3,https://audio-tours.s3.amazonaws.com/p182.mp3,http://collections.artsmia.org/art/30702,
183,46241,p183.mp3,Money Tree,1,quick,,,,p183.mp3,https://audio-tours.s3.amazonaws.com/p183.mp3,http://collections.artsmia.org/art/46241,
184,30633,p184.mp3,The Monk Ananda,1,quick,,,,p184.mp3,https://audio-tours.s3.amazonaws.com/p184.mp3,http://collections.artsmia.org/art/30633,
185,,p185.mp3,Moon Gate Panel,1,quick,,,,p185.mp3,https://audio-tours.s3.amazonaws.com/p185.mp3,http://collections.artsmia.org/art/,
188,3304,p188.mp3,River Landscape,1,quick,,,,p188.mp3,https://audio-tours.s3.amazonaws.com/p188.mp3,http://collections.artsmia.org/art/3304,
194,191,p194.mp3,"Fatin-Latour, Portrait of the Artist Alphonse Legros",1,quick,,,,p194.mp3,https://audio-tours.s3.amazonaws.com/p194.mp3,http://collections.artsmia.org/art/191,
209,62516,p209.mp3,"Sinel,  Model S' Scale",1,quick,,,,p209.mp3,https://audio-tours.s3.amazonaws.com/p209.mp3,http://collections.artsmia.org/art/62516,
210,,p210.mp3,Modernism Panel,1,quick,,,,p210.mp3,https://audio-tours.s3.amazonaws.com/p210.mp3,http://collections.artsmia.org/art/,
223,,p223.mp3,"Louis H. Sullivan, Pair of elevator grilles, frieze & over grille",1,quick,"Sullivan's new style, breaking away from historical sources; inspired by 
plants of the American prairie ",No audio available online,X,p223.mp3,https://audio-tours.s3.amazonaws.com/p223.mp3,http://collections.artsmia.org/art/,
224,,p224.mp3,"George Washington Maher, Coffee and Tea Service",1,quick,"Describes decorative elements, marks of manufacturing, points out other 
objects from same house",No audio available online,X,p224.mp3,https://audio-tours.s3.amazonaws.com/p224.mp3,http://collections.artsmia.org/art/,
226,81074,p226.mp3,"Hosmer, Medusa Bust",1,quick,Tells the mythology behind Medusa,"I wish it would talk in depth about why Hosmer
chose to portray Medusa in the midst of the 
transformation.",Yes,p226.mp3,https://audio-tours.s3.amazonaws.com/p226.mp3,http://collections.artsmia.org/art/81074,
227,12832,p227.mp3,Dressing Bureau,1,quick,,,,p227.mp3,https://audio-tours.s3.amazonaws.com/p227.mp3,http://collections.artsmia.org/art/12832,
